E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00562462	-0.00470081	0.0125806	1.09015	1.12815	0.87776	-1.49009e-09	473.715	
0.00565522	0.020243	0.0111083	1.09295	0.26937	-1.32919	-1.49009e-09	479.307	
0.0056326	-0.0117498	0.0115648	1.09088	-1.13715	-0.283758	-1.49009e-09	474.435	
0.00564753	0.0126293	0.0277496	1.09203	-1.10639	-0.277284	-1.49009e-09	478.241	
0.00564718	-0.0315734	-0.0100515	1.09191	-0.0326279	-0.154344	-1.49009e-09	477.384	
0.00563676	0.0664469	0.00150616	1.08938	-2.32753	-0.714966	-1.49009e-09	475.344	
0.00563322	-0.0178012	0.00726866	1.0909	-0.426971	0.0958418	-1.49009e-09	475.267	
0.0056399	-0.0129659	0.0165352	1.09151	0.77931	-0.717561	-1.49009e-09	475.977	
0.00565374	-0.00899671	0.00621339	1.093	0.798842	-1.08238	-1.49009e-09	478.336	
0.00564393	0.0055114	-0.00158415	1.09209	0.336312	-0.453128	-1.49009e-09	476.593	
0.00563217	-0.00570588	0.0125056	1.09088	0.0760866	1.21447	-1.49009e-09	475.147	
0.00564617	0.0609722	0.0202231	1.09043	-2.09667	-2.29583	-1.49009e-09	476.93	
0.00564018	0.0149965	-0.000710608	1.09164	0.459581	-0.708678	-1.49009e-09	476.192	
0.00563845	-0.0205531	0.0034807	1.09137	-0.0816751	-0.0666859	-1.49009e-09	475.517	
0.00565499	0.0419925	0.00387942	1.09236	-0.857466	0.371481	-1.49009e-09	479.486	
0.00564564	0.000302362	-0.00193752	1.09227	1.6144	1.8198	-1.49009e-09	476.392	
0.00566216	0.0880292	0.00503714	1.09031	1.61138	0.621207	-1.49009e-09	477.811	
0.00564278	-0.0295524	-0.00414309	1.09158	0.950613	2.46953	-1.49009e-09	477.158	
0.00565066	-0.0163064	0.00660081	1.09261	-0.624673	-0.764971	-1.49009e-09	478.408	
0.00562634	-0.00277942	0.00386961	1.09039	-0.608634	0.317194	-1.49009e-09	473.663	
0.00564333	-0.0436159	0.00647111	1.09115	0.686245	1.02681	-1.49009e-09	477.291	
0.00564735	0.0432739	-0.0183281	1.09142	-0.638267	-0.571553	-1.49009e-09	478.613	
0.00565318	0.0205262	0.0194171	1.09263	-0.0220259	-0.210605	-1.49009e-09	478.705	
0.00564999	-0.000331536	0.00174507	1.09269	1.69094	-1.58686	-1.49009e-09	476.099	
0.00564529	-0.0122655	-0.00291095	1.09216	-0.20966	-0.458482	-1.49009e-09	476.873	
0.0056563	0.0487571	-0.0114312	1.09215	0.340659	1.16591	-1.49009e-09	480.473	
0.00564048	-0.0421076	-0.00986959	1.09091	-0.38991	-0.143109	-1.49009e-09	477.49	
0.00565503	-0.00202821	0.0280306	1.09282	0.333522	-0.211247	-1.49009e-09	478.791	
0.0056519	-0.00776906	0.0257937	1.09254	0.872804	-0.655004	-1.49009e-09	478.851	
0.00565163	-0.021514	-0.00651938	1.09262	-2.49095	0.242413	-1.49009e-09	478.348	
0.00564183	0.0492755	0.0217233	1.09057	-1.77826	-0.501731	-1.49009e-09	478.171	
0.00564635	-0.00717014	-0.00855073	1.09228	-0.0669516	-0.424843	-1.49009e-09	477.122	
0.00563701	0.0381941	0.0250306	1.09048	-1.77879	0.0726177	-1.49009e-09	476.569	
0.00562427	-0.0224256	-0.00225562	1.08997	0.168765	0.273456	-1.49009e-09	473.5	
0.00562966	0.0148882	0.0304615	1.09019	1.03309	-0.252075	-1.49009e-09	475.069	
0.00564564	0.00482304	0.00758644	1.09223	0.042857	-0.184756	-1.49009e-09	476.477	
0.00565058	0.0248436	0.000512196	1.09246	-0.0608837	-0.273781	-1.49009e-09	478.005	
0.00563822	-0.0203705	-0.00433946	1.09135	-0.57948	-0.663782	-1.49009e-09	475.963	
0.00564207	-0.0386047	-0.00383846	1.09123	3.08708	-0.696789	-1.49009e-09	477.624	
0.00564073	-0.0432714	-0.00661164	1.09091	0.541099	1.65675	-1.49009e-09	476.463	
0.00562488	0.0223084	0.0146857	1.08993	0.00986438	0.331849	-1.49009e-09	473.361	
0.00562902	0.0473442	0.0265928	1.08931	-1.79192	-1.18274	-1.49009e-09	476.023	
0.00564267	0.0080952	0.000629676	1.09195	0.497158	0.151004	-1.49009e-09	476.731	
0.00565366	-0.00580726	-0.00355619	1.09302	-0.422523	-2.72961	-1.49009e-09	478.268	
0.00564835	0.0253917	-0.00351579	1.09223	1.26301	0.138055	-1.49009e-09	478.372	
0.00562775	0.0122224	0.0117404	1.0904	-0.673415	-0.582996	-1.49009e-09	473.394	
0.00564809	0.00494818	-0.00827409	1.09246	0.753985	-1.2889	-1.49009e-09	477.687	
0.00562601	-0.0387734	0.00270169	1.08968	0.294749	-0.966068	-1.49009e-09	474.571	
0.00565473	-0.0794359	0.0140251	1.09017	0.30821	0.85871	-1.49009e-09	476.599	
0.0056225	-0.00455727	0.000819418	1.09002	-0.947023	0.414775	-1.49009e-09	472.868	
0.00565357	-0.0481538	0.004245	1.09197	1.24747	-0.312608	-1.49009e-09	480.073	
0.00564962	-0.00384443	0.0127969	1.09257	-0.0633837	-0.124999	-1.49009e-09	478.062	
0.00564607	-0.0593285	-0.00309192	1.09069	1.62752	-0.137365	-1.49009e-09	478.889	
0.00565188	0.0116634	0.00338197	1.0928	-1.59427	-0.907183	-1.49009e-09	478.624	
0.00563899	0.00115125	0.0206706	1.09143	-0.081038	0.274542	-1.49009e-09	475.392	
0.00562561	0.00763896	0.00156639	1.0903	-3.68353	1.46955	-1.49009e-09	473.695	
0.00563549	0.0173553	0.0155539	1.09104	0.327786	0.254947	-1.49009e-09	475.047	
0.00563805	0.0273189	0.00113839	1.09119	1.47763	-0.0373869	-1.49009e-09	476.503	
0.00564218	-0.000757231	-0.0130003	1.09186	2.91818	-0.593406	-1.49009e-09	476.27	
0.00562683	0.00942001	-0.00366104	1.0904	-1.08069	1.33609	-1.49009e-09	473.823	
0.00562836	0.0266705	0.0322956	1.08979	-0.530427	-0.65982	-1.49009e-09	475.357	
0.00564763	0.0239601	-0.00349563	1.09219	-0.468715	0.84142	-1.49009e-09	478.788	
0.00564998	-0.00417639	0.0126875	1.09261	-1.15675	0.107208	-1.49009e-09	477.564	
0.00564553	0.0342139	0.0231005	1.09148	0.657585	-0.447353	-1.49009e-09	477.912	
0.00564739	0.000845061	-0.0109732	1.09238	0.28436	-0.224713	-1.49009e-09	477.353	
0.00564775	0.0703039	0.0231321	1.08996	-0.363223	-0.332475	-1.49009e-09	479.357	
0.00563512	0.00742117	-0.0128004	1.09115	-0.848444	-0.568719	-1.49009e-09	474.194	
0.00562527	-0.0300669	0.0286592	1.0895	-0.259791	-0.187098	-1.49009e-09	474.616	
0.00563187	0.0118563	-0.00871327	1.09084	1.30061	-0.0672588	-1.49009e-09	473.24	
0.00564941	0.0309	0.0138692	1.09211	-0.602125	-0.715151	-1.49009e-09	478.809	
0.00565081	-0.0489006	0.0071835	1.09165	0.88934	-1.35818	-1.49009e-09	479.881	
0.00564599	0.0520547	0.00474295	1.09105	-0.133724	-0.222521	-1.49009e-09	479.803	
0.00563344	-0.0115434	0.0178052	1.09088	-0.871251	-0.222239	-1.49009e-09	474.647	
0.00565147	-0.00712501	-0.01186	1.09274	-0.0843968	0.336572	-1.49009e-09	477.839	
0.00564687	-0.0235929	0.0330886	1.09163	-0.0484602	-0.0926219	-1.49009e-09	478.683	
0.00561973	-0.0457487	-6.56221e-05	1.0888	2.08825	-0.334685	-1.49009e-09	475.071	
0.00563955	0.0213501	0.0319658	1.091	1.22461	0.466779	-1.49009e-09	476.687	
0.00565431	0.0499991	0.012682	1.09189	-1.95586	-0.609698	-1.49009e-09	480.912	
0.00564881	0.000127312	0.0108501	1.09252	0.870272	-0.787405	-1.49009e-09	477.811	
0.00565214	-0.0457961	0.00785015	1.09191	-0.28981	-1.09884	-1.49009e-09	479.47	
0.00564542	-0.0631459	0.00187126	1.09042	2.7234	1.28959	-1.49009e-09	477.32	
0.00563852	-0.0117449	-0.0031435	1.09151	1.59523	-3.18934	-1.49009e-09	476.077	
0.00564483	0.0336275	-0.0107716	1.09162	-0.20819	0.230198	-1.49009e-09	477.28	
0.00563243	0.00546589	0.0231704	1.09073	-0.0575432	0.15678	-1.49009e-09	474.811	
0.00563948	0.00944347	0.0327552	1.09114	-0.615899	-0.196317	-1.49009e-09	476.693	
0.00563529	0.026453	0.000220406	1.09095	1.22365	1.1039	-1.49009e-09	476.023	
0.00565677	-0.0125257	-0.0121077	1.09321	0.0150182	-0.0796883	-1.49009e-09	479.361	
